Board_key,Board,Algorithm,Time execution,Explored nodes
1,"[[-1, -1, 2, 0, 0], [-1, -1, 2, 0, 0], [-1, 5, 3, 2, 1], [2, -1, -1, 4, -1], [1, 2, 3, -1, -1]]",depthFirstSearch,2.759536743,51
1,"[[-1, -1, 2, 0, 0], [-1, -1, 2, 0, 0], [-1, 5, 3, 2, 1], [2, -1, -1, 4, -1], [1, 2, 3, -1, -1]]",aStarSearch,1.410460472,8
2,"[[-1, 3, -1, 3, 2], [4, -1, 5, -1, -1], [-1, -1, 5, -1, 4], [2, 2, 4, -1, 3], [0, 0, 2, -1, 2]]",depthFirstSearch,3.492098808,50
2,"[[-1, 3, -1, 3, 2], [4, -1, 5, -1, -1], [-1, -1, 5, -1, 4], [2, 2, 4, -1, 3], [0, 0, 2, -1, 2]]",aStarSearch,1.833585262,10
3,"[[1, 1, 1, 1, 1], [2, -1, 2, 2, -1], [-1, 5, -1, 5, 3], [3, -1, -1, -1, -1], [-1, 3, 4, -1, 3]]",depthFirstSearch,4.958827496,110
3,"[[1, 1, 1, 1, 1], [2, -1, 2, 2, -1], [-1, 5, -1, 5, 3], [3, -1, -1, -1, -1], [-1, 3, 4, -1, 3]]",aStarSearch,2.972392082,15
4,"[[-1, 2, -1, 2, -1], [3, 4, 2, 2, 1], [-1, -1, 3, 2, 1], [4, -1, -1, 3, -1], [-1, 4, -1, 3, 1]]",depthFirstSearch,3.921206474,82
4,"[[-1, 2, -1, 2, -1], [3, 4, 2, 2, 1], [-1, -1, 3, 2, 1], [4, -1, -1, 3, -1], [-1, 4, -1, 3, 1]]",aStarSearch,3.101877451,15
5,"[[1, -1, 2, -1, -1], [2, 2, 3, 3, 3], [2, -1, 2, 2, -1], [-1, 4, 4, -1, 3], [-1, 3, -1, -1, 2]]",depthFirstSearch,3.628532648,91
5,"[[1, -1, 2, -1, -1], [2, 2, 3, 3, 3], [2, -1, 2, 2, -1], [-1, 4, 4, -1, 3], [-1, 3, -1, -1, 2]]",aStarSearch,3.038046837,15
6,"[[1, 2, 2, -1, 1], [-1, 2, -1, 4, 3], [1, 3, 3, -1, -1], [1, 2, -1, 6, -1], [1, -1, 3, -1, -1]]",depthFirstSearch,3.648130894,106
6,"[[1, 2, 2, -1, 1], [-1, 2, -1, 4, 3], [1, 3, 3, -1, -1], [1, 2, -1, 6, -1], [1, -1, 3, -1, -1]]",aStarSearch,3.082355022,15
7,"[[-1, 2, 2, -1, 1], [2, -1, 2, 2, 2], [2, 2, 2, 3, -1], [-1, 4, 3, -1, -1], [-1, -1, -1, 3, 2]]",depthFirstSearch,3.562154055,99
7,"[[-1, 2, 2, -1, 1], [2, -1, 2, 2, 2], [2, 2, 2, 3, -1], [-1, 4, 3, -1, -1], [-1, -1, -1, 3, 2]]",aStarSearch,2.915039539,15
8,"[[2, 4, -1, -1, -1], [-1, -1, -1, 6, 3], [-1, 5, -1, 4, -1], [1, 2, 2, -1, 2], [0, 0, 1, 1, 1]]",depthFirstSearch,2.133677006,34
8,"[[2, 4, -1, -1, -1], [-1, -1, -1, 6, 3], [-1, 5, -1, 4, -1], [1, 2, 2, -1, 2], [0, 0, 1, 1, 1]]",aStarSearch,1.661676168,10
9,"[[3, -1, 2, 0, 0], [-1, -1, 3, 1, 1], [4, -1, 4, 3, -1], [3, -1, 5, -1, -1], [2, -1, 4, -1, 3]]",depthFirstSearch,4.003882408,74
9,"[[3, -1, 2, 0, 0], [-1, -1, 3, 1, 1], [4, -1, 4, 3, -1], [3, -1, 5, -1, -1], [2, -1, 4, -1, 3]]",aStarSearch,2.438530684,10
10,"[[1, -1, 1, 2, -1], [3, 4, 4, 4, -1], [-1, -1, -1, -1, 3], [-1, -1, 5, -1, 2], [2, 2, 2, 1, 1]]",depthFirstSearch,4.795861959,69
10,"[[1, -1, 1, 2, -1], [3, 4, 4, 4, -1], [-1, -1, -1, -1, 3], [-1, -1, 5, -1, 2], [2, 2, 2, 1, 1]]",aStarSearch,3.42322278,15
11,"[[-1, 2, -1, -1, 3], [3, 4, 4, -1, -1], [-1, -1, 3, 3, 2], [3, 4, -1, 2, 1], [-1, 2, 1, 2, -1]]",depthFirstSearch,4.170488119,65
11,"[[-1, 2, -1, -1, 3], [3, 4, 4, -1, -1], [-1, -1, 3, 3, 2], [3, 4, -1, 2, 1], [-1, 2, 1, 2, -1]]",aStarSearch,3.282478571,15
12,"[[2, -1, -1, 1, 0], [3, -1, 6, 3, 1], [2, -1, -1, -1, 2], [2, 5, -1, 5, -1], [1, -1, -1, 3, 1]]",depthFirstSearch,3.807176352,75
12,"[[2, -1, -1, 1, 0], [3, -1, 6, 3, 1], [2, -1, -1, -1, 2], [2, 5, -1, 5, -1], [1, -1, -1, 3, 1]]",aStarSearch,2.440382957,12
13,"[[1, 2, -1, 1, 0], [-1, 5, 3, 3, 1], [-1, -1, -1, 2, -1], [-1, 6, 4, 4, 2], [2, -1, -1, 2, -1]]",depthFirstSearch,3.636906862,86
13,"[[1, 2, -1, 1, 0], [-1, 5, 3, 3, 1], [-1, -1, -1, 2, -1], [-1, 6, 4, 4, 2], [2, -1, -1, 2, -1]]",aStarSearch,3.023062706,12
