Board_key,Board,Algorithm,Time execution,Explored nodes
1,"[[3, -1, 3, 3, -1, -1, 2, 0, 0], [-1, -1, 5, -1, -1, -1, 3, 1, 0], [3, 4, -1, -1, 4, 4, -1, 3, 1], [1, -1, 5, 4, 3, 3, -1, 3, -1], [2, 3, -1, -1, 2, -1, 4, 5, 3], [-1, 3, 4, 5, 5, 5, -1, -1, -1], [2, 3, -1, -1, -1, -1, -1, 6, 3], [-1, 2, 2, 3, 4, -1, -1, 5, -1], [1, 1, 0, 0, 1, 3, -1, 4, -1]]",depthFirstSearch,94.28306508,618
1,"[[3, -1, 3, 3, -1, -1, 2, 0, 0], [-1, -1, 5, -1, -1, -1, 3, 1, 0], [3, 4, -1, -1, 4, 4, -1, 3, 1], [1, -1, 5, 4, 3, 3, -1, 3, -1], [2, 3, -1, -1, 2, -1, 4, 5, 3], [-1, 3, 4, 5, 5, 5, -1, -1, -1], [2, 3, -1, -1, -1, -1, -1, 6, 3], [-1, 2, 2, 3, 4, -1, -1, 5, -1], [1, 1, 0, 0, 1, 3, -1, 4, -1]]",aStarSearch,67.62386656,35
2,"[[-1, -1, -1, 1, 0, 1, 1, 3, -1], [2, 3, 3, 2, 1, 1, -1, 5, -1], [1, 1, 2, -1, 3, 4, 4, -1, -1], [1, -1, 4, 5, -1, -1, -1, 6, 4], [1, 2, -1, -1, -1, 6, -1, -1, -1], [1, 2, 3, 3, 2, 3, -1, 5, 3], [2, -1, 2, 0, 0, 2, 3, 4, -1], [4, -1, 5, 2, 2, 3, -1, -1, 3], [-1, -1, -1, -1, 2, -1, -1, 4, -1]]",depthFirstSearch,TIMEOUT,TIMEOUT
2,"[[-1, -1, -1, 1, 0, 1, 1, 3, -1], [2, 3, 3, 2, 1, 1, -1, 5, -1], [1, 1, 2, -1, 3, 4, 4, -1, -1], [1, -1, 4, 5, -1, -1, -1, 6, 4], [1, 2, -1, -1, -1, 6, -1, -1, -1], [1, 2, 3, 3, 2, 3, -1, 5, 3], [2, -1, 2, 0, 0, 2, 3, 4, -1], [4, -1, 5, 2, 2, 3, -1, -1, 3], [-1, -1, -1, -1, 2, -1, -1, 4, -1]]",aStarSearch,66.04637098,34
3,"[[-1, 2, 1, 2, -1, 3, -1, 4, -1], [3, -1, 2, 2, -1, 4, 3, -1, -1], [4, -1, 3, 1, 1, 2, -1, 4, 3], [-1, -1, 3, 1, 1, 2, 1, 3, -1], [4, -1, 3, 2, -1, 3, 2, 3, -1], [-1, 4, 4, -1, 6, -1, -1, 4, 2], [-1, -1, 4, -1, -1, -1, -1, -1, 2], [2, 2, 3, -1, -1, 5, 5, 5, -1], [0, 0, 1, 2, 2, 2, -1, -1, 2]]",depthFirstSearch,TIMEOUT,TIMEOUT
3,"[[-1, 2, 1, 2, -1, 3, -1, 4, -1], [3, -1, 2, 2, -1, 4, 3, -1, -1], [4, -1, 3, 1, 1, 2, -1, 4, 3], [-1, -1, 3, 1, 1, 2, 1, 3, -1], [4, -1, 3, 2, -1, 3, 2, 3, -1], [-1, 4, 4, -1, 6, -1, -1, 4, 2], [-1, -1, 4, -1, -1, -1, -1, -1, 2], [2, 2, 3, -1, -1, 5, 5, 5, -1], [0, 0, 1, 2, 2, 2, -1, -1, 2]]",aStarSearch,94.42401958,44
4,"[[-1, 1, 1, 3, -1, 4, -1, -1, 2], [2, 2, 2, -1, -1, 6, -1, 4, -1], [2, -1, 2, 3, -1, -1, 3, 3, 1], [-1, 3, 2, 2, 4, 5, -1, 2, 1], [4, -1, 2, 2, -1, -1, 3, 3, -1], [-1, -1, 3, 3, -1, 4, 3, -1, 2], [-1, 5, -1, 3, 3, 5, -1, 3, 1], [3, -1, 2, 2, -1, -1, -1, 4, 1], [-1, 2, 1, 1, 3, -1, -1, -1, 1]]",depthFirstSearch,TIMEOUT,TIMEOUT
4,"[[-1, 1, 1, 3, -1, 4, -1, -1, 2], [2, 2, 2, -1, -1, 6, -1, 4, -1], [2, -1, 2, 3, -1, -1, 3, 3, 1], [-1, 3, 2, 2, 4, 5, -1, 2, 1], [4, -1, 2, 2, -1, -1, 3, 3, -1], [-1, -1, 3, 3, -1, 4, 3, -1, 2], [-1, 5, -1, 3, 3, 5, -1, 3, 1], [3, -1, 2, 2, -1, -1, -1, 4, 1], [-1, 2, 1, 1, 3, -1, -1, -1, 1]]",aStarSearch,TIMEOUT,TIMEOUT
5,"[[2, 2, 1, 0, 0, 0, 1, -1, 1], [-1, -1, 2, 2, 3, 3, 3, 2, 1], [3, 3, 3, -1, -1, -1, -1, 4, 2], [2, -1, 3, 4, 4, 5, -1, -1, -1], [-1, 4, -1, 5, -1, 4, 4, 5, 4], [3, 5, -1, -1, -1, -1, 2, -1, -1], [-1, -1, 6, -1, -1, 4, 4, 5, -1], [2, 4, -1, -1, 5, 3, -1, -1, 2], [0, 2, -1, -1, -1, 2, 2, 2, 1]]",depthFirstSearch,TIMEOUT,TIMEOUT
5,"[[2, 2, 1, 0, 0, 0, 1, -1, 1], [-1, -1, 2, 2, 3, 3, 3, 2, 1], [3, 3, 3, -1, -1, -1, -1, 4, 2], [2, -1, 3, 4, 4, 5, -1, -1, -1], [-1, 4, -1, 5, -1, 4, 4, 5, 4], [3, 5, -1, -1, -1, -1, 2, -1, -1], [-1, -1, 6, -1, -1, 4, 4, 5, -1], [2, 4, -1, -1, 5, 3, -1, -1, 2], [0, 2, -1, -1, -1, 2, 2, 2, 1]]",aStarSearch,72.55625296,37
6,"[[3, -1, -1, 4, -1, 2, 1, -1, -1], [-1, -1, -1, 4, -1, 2, 1, 2, 2], [-1, 5, 3, 3, 2, 2, 0, 1, 1], [4, -1, 3, 2, -1, 2, 2, 2, -1], [-1, -1, -1, 3, 2, -1, 2, -1, 2], [-1, -1, -1, 3, 2, 2, 2, 2, 2], [-1, 5, 3, 4, -1, 2, 1, 3, -1], [-1, 3, 1, -1, -1, 3, 2, -1, -1], [-1, 2, 1, 2, 3, -1, 2, 3, -1]]",depthFirstSearch,TIMEOUT,TIMEOUT
6,"[[3, -1, -1, 4, -1, 2, 1, -1, -1], [-1, -1, -1, 4, -1, 2, 1, 2, 2], [-1, 5, 3, 3, 2, 2, 0, 1, 1], [4, -1, 3, 2, -1, 2, 2, 2, -1], [-1, -1, -1, 3, 2, -1, 2, -1, 2], [-1, -1, -1, 3, 2, 2, 2, 2, 2], [-1, 5, 3, 4, -1, 2, 1, 3, -1], [-1, 3, 1, -1, -1, 3, 2, -1, -1], [-1, 2, 1, 2, 3, -1, 2, 3, -1]]",aStarSearch,83.90130472,41
7,"[[-1, -1, 2, -1, -1, -1, 3, -1, -1], [-1, 5, 4, 4, -1, 3, 3, -1, 4], [2, -1, -1, 4, 2, 2, 1, 3, -1], [3, 5, -1, 3, -1, 2, 1, 4, -1], [-1, -1, 2, 2, 1, 2, -1, 3, -1], [3, 4, 4, 2, 1, 2, 2, 4, 2], [1, -1, -1, -1, 2, 3, -1, 4, -1], [2, 4, 4, 3, 2, -1, -1, 6, -1], [-1, 2, -1, 1, 1, 3, -1, -1, 2]]",depthFirstSearch,TIMEOUT,TIMEOUT
7,"[[-1, -1, 2, -1, -1, -1, 3, -1, -1], [-1, 5, 4, 4, -1, 3, 3, -1, 4], [2, -1, -1, 4, 2, 2, 1, 3, -1], [3, 5, -1, 3, -1, 2, 1, 4, -1], [-1, -1, 2, 2, 1, 2, -1, 3, -1], [3, 4, 4, 2, 1, 2, 2, 4, 2], [1, -1, -1, -1, 2, 3, -1, 4, -1], [2, 4, 4, 3, 2, -1, -1, 6, -1], [-1, 2, -1, 1, 1, 3, -1, -1, 2]]",aStarSearch,TIMEOUT,TIMEOUT
8,"[[1, -1, 2, -1, -1, -1, -1, -1, -1], [2, 2, 4, 4, 5, 5, -1, 6, -1], [2, -1, 3, -1, -1, 3, 4, -1, 3], [-1, 3, -1, 4, 3, 2, -1, -1, 2], [1, 3, 3, -1, 2, 2, 4, 3, 2], [1, 3, -1, 4, 4, -1, 3, -1, 1], [2, -1, -1, -1, 5, -1, 3, 1, 1], [-1, 5, -1, -1, -1, 3, 1, 1, 1], [2, -1, 3, 4, -1, 2, 0, 1, -1]]",depthFirstSearch,TIMEOUT,TIMEOUT
8,"[[1, -1, 2, -1, -1, -1, -1, -1, -1], [2, 2, 4, 4, 5, 5, -1, 6, -1], [2, -1, 3, -1, -1, 3, 4, -1, 3], [-1, 3, -1, 4, 3, 2, -1, -1, 2], [1, 3, 3, -1, 2, 2, 4, 3, 2], [1, 3, -1, 4, 4, -1, 3, -1, 1], [2, -1, -1, -1, 5, -1, 3, 1, 1], [-1, 5, -1, -1, -1, 3, 1, 1, 1], [2, -1, 3, 4, -1, 2, 0, 1, -1]]",aStarSearch,92.85583091,44
9,"[[1, 1, 3, -1, -1, 3, -1, 3, -1], [2, -1, 3, -1, -1, 4, 3, 4, -1], [-1, 2, 2, 2, 3, -1, 3, -1, 3], [1, 1, 0, 1, 2, 2, 4, -1, 3], [1, 1, 0, 2, -1, 2, 3, -1, 3], [-1, 3, 3, 4, -1, 3, 3, -1, 2], [3, -1, -1, -1, 4, -1, 3, 2, 2], [-1, 6, 6, 5, -1, 4, 5, -1, 3], [-1, -1, -1, -1, 3, -1, -1, -1, -1]]",depthFirstSearch,TIMEOUT,TIMEOUT
9,"[[1, 1, 3, -1, -1, 3, -1, 3, -1], [2, -1, 3, -1, -1, 4, 3, 4, -1], [-1, 2, 2, 2, 3, -1, 3, -1, 3], [1, 1, 0, 1, 2, 2, 4, -1, 3], [1, 1, 0, 2, -1, 2, 3, -1, 3], [-1, 3, 3, 4, -1, 3, 3, -1, 2], [3, -1, -1, -1, 4, -1, 3, 2, 2], [-1, 6, 6, 5, -1, 4, 5, -1, 3], [-1, -1, -1, -1, 3, -1, -1, -1, -1]]",aStarSearch,79.23922229,38
10,"[[1, 1, 2, -1, -1, 2, 2, 4, -1], [1, -1, 4, 4, 4, 4, -1, -1, -1], [1, 2, -1, -1, 3, -1, -1, 6, 4], [0, 1, 3, 4, 6, -1, 6, -1, -1], [1, 2, 3, -1, -1, -1, -1, 5, -1], [2, -1, -1, 3, 3, 4, 3, 4, -1], [3, -1, 4, 3, 1, 2, -1, 3, 2], [-1, 4, -1, 5, -1, 3, 1, 3, -1], [1, 3, -1, -1, -1, 2, 0, 2, -1]]",depthFirstSearch,TIMEOUT,TIMEOUT
10,"[[1, 1, 2, -1, -1, 2, 2, 4, -1], [1, -1, 4, 4, 4, 4, -1, -1, -1], [1, 2, -1, -1, 3, -1, -1, 6, 4], [0, 1, 3, 4, 6, -1, 6, -1, -1], [1, 2, 3, -1, -1, -1, -1, 5, -1], [2, -1, -1, 3, 3, 4, 3, 4, -1], [3, -1, 4, 3, 1, 2, -1, 3, 2], [-1, 4, -1, 5, -1, 3, 1, 3, -1], [1, 3, -1, -1, -1, 2, 0, 2, -1]]",aStarSearch,78.99268603,39
11,"[[-1, -1, 2, -1, 3, -1, -1, 3, 1], [4, 4, 3, 3, -1, 6, -1, -1, 1], [-1, -1, 4, 4, -1, 4, -1, 4, 2], [4, -1, -1, -1, 3, 2, 2, 3, -1], [3, -1, 7, -1, 3, 0, 1, -1, 2], [4, -1, 6, -1, 2, 1, 2, 3, 2], [-1, -1, -1, 4, 3, 4, -1, 3, -1], [2, 4, -1, 3, -1, -1, -1, 4, 2], [0, 1, 1, 2, 3, -1, 3, 2, -1]]",depthFirstSearch,TIMEOUT,TIMEOUT
11,"[[-1, -1, 2, -1, 3, -1, -1, 3, 1], [4, 4, 3, 3, -1, 6, -1, -1, 1], [-1, -1, 4, 4, -1, 4, -1, 4, 2], [4, -1, -1, -1, 3, 2, 2, 3, -1], [3, -1, 7, -1, 3, 0, 1, -1, 2], [4, -1, 6, -1, 2, 1, 2, 3, 2], [-1, -1, -1, 4, 3, 4, -1, 3, -1], [2, 4, -1, 3, -1, -1, -1, 4, 2], [0, 1, 1, 2, 3, -1, 3, 2, -1]]",aStarSearch,75.8107233,38
12,"[[2, 3, 3, -1, 2, -1, 2, -1, -1], [-1, -1, -1, 3, 3, 2, 2, 3, -1], [4, -1, 5, 3, -1, 3, 2, 2, 1], [3, -1, 6, -1, 4, -1, -1, 1, 0], [3, -1, -1, -1, 5, 3, 3, 1, 0], [-1, 5, -1, -1, 5, -1, 3, 1, 1], [2, 4, -1, 4, -1, -1, 4, -1, 2], [3, -1, 4, 3, 5, -1, 4, 2, -1], [-1, -1, 3, -1, 3, -1, 2, 1, 1]]",depthFirstSearch,TIMEOUT,TIMEOUT
12,"[[2, 3, 3, -1, 2, -1, 2, -1, -1], [-1, -1, -1, 3, 3, 2, 2, 3, -1], [4, -1, 5, 3, -1, 3, 2, 2, 1], [3, -1, 6, -1, 4, -1, -1, 1, 0], [3, -1, -1, -1, 5, 3, 3, 1, 0], [-1, 5, -1, -1, 5, -1, 3, 1, 1], [2, 4, -1, 4, -1, -1, 4, -1, 2], [3, -1, 4, 3, 5, -1, 4, 2, -1], [-1, -1, 3, -1, 3, -1, 2, 1, 1]]",aStarSearch,88.1030705,42
13,"[[-1, -1, 3, 2, -1, 2, -1, -1, 3], [3, -1, -1, 3, 1, 2, 4, -1, -1], [1, 4, -1, 5, 2, 1, 2, -1, 3], [1, 4, -1, -1, -1, 3, 3, 4, 3], [2, -1, -1, 7, -1, 4, -1, -1, -1], [-1, 4, -1, 4, -1, 3, 4, -1, 4], [1, 3, 2, 3, 1, 2, 3, -1, 3], [0, 1, -1, 2, 1, 3, -1, 6, -1], [0, 1, 1, 2, -1, 3, -1, -1, -1]]",depthFirstSearch,TIMEOUT,TIMEOUT
13,"[[-1, -1, 3, 2, -1, 2, -1, -1, 3], [3, -1, -1, 3, 1, 2, 4, -1, -1], [1, 4, -1, 5, 2, 1, 2, -1, 3], [1, 4, -1, -1, -1, 3, 3, 4, 3], [2, -1, -1, 7, -1, 4, -1, -1, -1], [-1, 4, -1, 4, -1, 3, 4, -1, 4], [1, 3, 2, 3, 1, 2, 3, -1, 3], [0, 1, -1, 2, 1, 3, -1, 6, -1], [0, 1, 1, 2, -1, 3, -1, -1, -1]]",aStarSearch,93.85366821,44
14,"[[1, 2, 1, 1, 1, 2, -1, -1, 1], [-1, 2, -1, 2, 2, -1, 4, 4, 3], [1, 3, 3, 4, -1, 2, 3, -1, -1], [0, 2, -1, -1, 4, 3, 4, -1, 5], [0, 2, -1, 5, -1, -1, 6, -1, -1], [1, 2, 1, 3, -1, -1, -1, -1, -1], [-1, 2, 2, 3, 5, -1, 5, 6, -1], [3, -1, 4, -1, -1, 3, 2, -1, -1], [2, -1, -1, 4, -1, 2, 1, 2, 2]]",depthFirstSearch,TIMEOUT,TIMEOUT
